[2025-11-02 12:44:20,489] 148 numexpr.utils  - INFO - Note: NumExpr detected 22 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.
[2025-11-02 12:44:20,489] 161 numexpr.utils  - INFO - NumExpr defaulting to 16 threads.
[2025-11-02 12:44:23,684] 15 root  - INFO - Starting data ingestion
[2025-11-02 12:44:26,772] 59 root  - INFO - Performed train test split on the dataframe
[2025-11-02 12:44:26,772] 60 root  - INFO - exited the split_data_as_train_test method of Data Ingestion class
[2025-11-02 12:44:26,772] 63 root  - INFO - exporting train and test file path
[2025-11-02 12:44:26,817] 66 root  - INFO - exported train and test file path
[2025-11-02 12:44:26,817] 18 root  - INFO - Data ingestion completed
[2025-11-02 12:44:26,899] 35 root  - INFO - Column {'having_IP_Address': 'int64'} is missing in the dataframe
[2025-11-02 12:44:26,899] 35 root  - INFO - Column {'having_IP_Address': 'int64'} is missing in the dataframe
[2025-11-02 12:44:27,004] 22 root  - INFO - Data validation completed
[2025-11-02 12:44:27,004] 63 root  - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-11-02 12:44:27,004] 65 root  - INFO - Starting data transformation
